RUN	JJ.Framework.JJSim	jjsim	1626797511530	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
GROUP	NPI	1626797594529	1626797596740	468	OK
REQUEST	NPI,NPI	NPI_1437168358	1626797596742	1626797597015	OK	 
GROUP	NPI,NPI	1626797596741	1626797597015	273	OK
GROUP	NPI	1626797596741	1626797598848	273	OK
REQUEST	NPI,NPI	NPI_1578651436	1626797598849	1626797599757	OK	 
GROUP	NPI,NPI	1626797598849	1626797599757	908	OK
GROUP	NPI	1626797598848	1626797600865	908	OK
REQUEST	NPI,NPI	NPI_1346212545	1626797600866	1626797601088	OK	 
GROUP	NPI,NPI	1626797600865	1626797601088	222	OK
GROUP	NPI	1626797600865	1626797602198	222	OK
REQUEST	NPI,NPI	NPI_1528017290	1626797602199	1626797602436	OK	 
GROUP	NPI,NPI	1626797602199	1626797602437	237	OK
GROUP	NPI	1626797602198	1626797603669	237	OK
REQUEST	NPI,NPI	NPI_1184659591	1626797603671	1626797603953	OK	 
GROUP	NPI,NPI	1626797603670	1626797603953	282	OK
GROUP	NPI	1626797603670	1626797605898	282	OK
REQUEST	NPI,NPI	NPI_1043245459	1626797605899	1626797606139	OK	 
GROUP	NPI,NPI	1626797605898	1626797606140	240	OK
GROUP	NPI	1626797605898	1626797607264	240	OK
REQUEST	NPI,NPI	NPI_1902296692	1626797607264	1626797607442	OK	 
GROUP	NPI,NPI	1626797607264	1626797607442	178	OK
GROUP	NPI	1626797607264	1626797608869	178	OK
REQUEST	NPI,NPI	NPI_1053475699	1626797608870	1626797609072	OK	 
GROUP	NPI,NPI	1626797608870	1626797609072	202	OK
GROUP	NPI	1626797608869	1626797610740	202	OK
REQUEST	NPI,NPI	NPI_1194960765	1626797610741	1626797610941	OK	 
GROUP	NPI,NPI	1626797610740	1626797610941	200	OK
GROUP	NPI	1626797610740	1626797612142	200	OK
REQUEST	NPI,NPI	NPI_1336133727	1626797612144	1626797612344	OK	 
GROUP	NPI,NPI	1626797612143	1626797612345	200	OK
GROUP	NPI	1626797612143	1626797613374	200	OK
REQUEST	NPI,NPI	NPI_1497704167	1626797613376	1626797613653	OK	 
GROUP	NPI,NPI	1626797613375	1626797613654	277	OK
GROUP	NPI	1626797613375	1626797614808	277	OK
REQUEST	NPI,NPI	NPI_1457335440	1626797614809	1626797615220	OK	 
GROUP	NPI,NPI	1626797614808	1626797615220	411	OK
GROUP	NPI	1626797614808	1626797616847	411	OK
REQUEST	NPI,NPI	NPI_1245318229	1626797616848	1626797617024	OK	 
GROUP	NPI,NPI	1626797616847	1626797617024	176	OK
GROUP	NPI	1626797616847	1626797618687	176	OK
REQUEST	NPI,NPI	NPI_1821049651	1626797618688	1626797618887	OK	 
GROUP	NPI,NPI	1626797618687	1626797618887	199	OK
GROUP	NPI	1626797618687	1626797620313	199	OK
REQUEST	NPI,NPI	NPI_1114976883	1626797620314	1626797620544	OK	 
GROUP	NPI,NPI	1626797620314	1626797620544	230	OK
GROUP	NPI	1626797620313	1626797621688	230	OK
REQUEST	NPI,NPI	NPI_1740270032	1626797621689	1626797621876	OK	 
GROUP	NPI,NPI	1626797621688	1626797621876	187	OK
GROUP	NPI	1626797621688	1626797622902	187	OK
REQUEST	NPI,NPI	NPI_1245419696	1626797622903	1626797637820	KO	j.n.ConnectException: Operation timed out
GROUP	NPI,NPI	1626797622902	1626797637822	14917	KO
GROUP	NPI	1626797622902	1626797639538	14917	KO
REQUEST	NPI,NPI	NPI_1942331400	1626797639539	1626797645633	OK	 
GROUP	NPI,NPI	1626797639538	1626797645634	6094	OK
GROUP	NPI	1626797639538	1626797647507	6094	OK
REQUEST	NPI,NPI	NPI_1144239955	1626797647509	1626797647709	OK	 
GROUP	NPI,NPI	1626797647508	1626797647709	200	OK
GROUP	NPI	1626797647508	1626797648974	200	OK
REQUEST	NPI,NPI	NPI_1538137419	1626797648975	1626797649629	OK	 
GROUP	NPI,NPI	1626797648975	1626797649629	654	OK
GROUP	NPI	1626797648974	1626797651561	654	OK
REQUEST	NPI,NPI	NPI_1306830377	1626797651562	1626797651997	OK	 
GROUP	NPI,NPI	1626797651562	1626797651997	435	OK
GROUP	NPI	1626797651561	1626797653899	435	OK
REQUEST	NPI,NPI	NPI_1962487256	1626797653900	1626797654086	OK	 
GROUP	NPI,NPI	1626797653899	1626797654086	186	OK
GROUP	NPI	1626797653899	1626797655190	186	OK
REQUEST	NPI,NPI	NPI_1902890692	1626797655191	1626797655341	OK	 
GROUP	NPI,NPI	1626797655191	1626797655342	150	OK
GROUP	NPI	1626797655191	1626797657318	150	OK
REQUEST	NPI,NPI	NPI_1932411584	1626797657319	1626797657518	OK	 
GROUP	NPI,NPI	1626797657319	1626797657518	199	OK
GROUP	NPI	1626797657319	1626797658978	199	OK
REQUEST	NPI,NPI	NPI_1275929051	1626797658979	1626797659144	OK	 
GROUP	NPI,NPI	1626797658979	1626797659145	165	OK
GROUP	NPI	1626797658978	1626797660997	165	OK
REQUEST	NPI,NPI	NPI_1114201886	1626797660998	1626797661216	OK	 
GROUP	NPI,NPI	1626797660998	1626797661217	218	OK
GROUP	NPI	1626797660997	1626797662324	218	OK
REQUEST	NPI,NPI	NPI_1760428825	1626797662325	1626797662489	OK	 
GROUP	NPI,NPI	1626797662324	1626797662489	164	OK
GROUP	NPI	1626797662324	1626797664111	164	OK
REQUEST	NPI,NPI	NPI_1437168358	1626797664112	1626797664346	OK	 
GROUP	NPI,NPI	1626797664111	1626797664347	234	OK
GROUP	NPI	1626797664111	1626797666243	234	OK
REQUEST	NPI,NPI	NPI_1578651436	1626797666244	1626797666416	OK	 
GROUP	NPI,NPI	1626797666243	1626797666416	172	OK
GROUP	NPI	1626797666243	1626797668244	172	OK
REQUEST	NPI,NPI	NPI_1346212545	1626797668245	1626797668432	OK	 
GROUP	NPI,NPI	1626797668244	1626797668432	187	OK
GROUP	NPI	1626797668244	1626797670190	187	OK
REQUEST	NPI,NPI	NPI_1528017290	1626797670191	1626797670514	OK	 
GROUP	NPI,NPI	1626797670191	1626797670514	323	OK
GROUP	NPI	1626797670191	1626797672238	323	OK
REQUEST	NPI,NPI	NPI_1184659591	1626797672239	1626797672471	OK	 
GROUP	NPI,NPI	1626797672239	1626797672472	232	OK
GROUP	NPI	1626797672239	1626797674315	232	OK
REQUEST	NPI,NPI	NPI_1043245459	1626797674316	1626797674522	OK	 
GROUP	NPI,NPI	1626797674316	1626797674522	206	OK
GROUP	NPI	1626797674315	1626797676372	206	OK
REQUEST	NPI,NPI	NPI_1902296692	1626797676373	1626797676525	OK	 
GROUP	NPI,NPI	1626797676372	1626797676525	152	OK
GROUP	NPI	1626797676372	1626797678245	152	OK
REQUEST	NPI,NPI	NPI_1053475699	1626797678247	1626797678755	OK	 
GROUP	NPI,NPI	1626797678246	1626797678756	508	OK
GROUP	NPI	1626797678246	1626797680581	508	OK
REQUEST	NPI,NPI	NPI_1194960765	1626797680582	1626797680788	OK	 
GROUP	NPI,NPI	1626797680582	1626797680789	206	OK
GROUP	NPI	1626797680581	1626797682236	206	OK
REQUEST	NPI,NPI	NPI_1336133727	1626797682237	1626797682429	OK	 
GROUP	NPI,NPI	1626797682237	1626797682429	192	OK
GROUP	NPI	1626797682236	1626797683942	192	OK
REQUEST	NPI,NPI	NPI_1497704167	1626797683943	1626797684157	OK	 
GROUP	NPI,NPI	1626797683943	1626797684157	214	OK
GROUP	NPI	1626797683942	1626797685306	214	OK
REQUEST	NPI,NPI	NPI_1457335440	1626797685307	1626797685585	OK	 
GROUP	NPI,NPI	1626797685306	1626797685586	278	OK
GROUP	NPI	1626797685306	1626797687079	278	OK
REQUEST	NPI,NPI	NPI_1245318229	1626797687080	1626797687286	OK	 
GROUP	NPI,NPI	1626797687080	1626797687287	206	OK
GROUP	NPI	1626797687079	1626797688535	206	OK
REQUEST	NPI,NPI	NPI_1821049651	1626797688536	1626797688812	OK	 
GROUP	NPI,NPI	1626797688535	1626797688813	276	OK
GROUP	NPI	1626797688535	1626797690031	276	OK
REQUEST	NPI,NPI	NPI_1114976883	1626797690032	1626797690243	OK	 
GROUP	NPI,NPI	1626797690032	1626797690243	211	OK
GROUP	NPI	1626797690031	1626797691306	211	OK
REQUEST	NPI,NPI	NPI_1740270032	1626797691307	1626797691442	OK	 
GROUP	NPI,NPI	1626797691306	1626797691442	135	OK
GROUP	NPI	1626797691306	1626797693221	135	OK
REQUEST	NPI,NPI	NPI_1245419696	1626797693222	1626797693430	OK	 
GROUP	NPI,NPI	1626797693222	1626797693430	208	OK
GROUP	NPI	1626797693221	1626797695204	208	OK
REQUEST	NPI,NPI	NPI_1942331400	1626797695206	1626797695379	OK	 
GROUP	NPI,NPI	1626797695205	1626797695379	173	OK
GROUP	NPI	1626797695205	1626797697110	173	OK
REQUEST	NPI,NPI	NPI_1144239955	1626797697111	1626797697323	OK	 
GROUP	NPI,NPI	1626797697110	1626797697324	212	OK
GROUP	NPI	1626797697110	1626797698948	212	OK
REQUEST	NPI,NPI	NPI_1538137419	1626797698949	1626797699129	OK	 
GROUP	NPI,NPI	1626797698949	1626797699130	180	OK
GROUP	NPI	1626797698948	1626797701013	180	OK
REQUEST	NPI,NPI	NPI_1306830377	1626797701014	1626797701170	OK	 
GROUP	NPI,NPI	1626797701014	1626797701170	156	OK
GROUP	NPI	1626797701014	1626797702700	156	OK
REQUEST	NPI,NPI	NPI_1962487256	1626797702701	1626797702872	OK	 
GROUP	NPI,NPI	1626797702701	1626797702873	171	OK
GROUP	NPI	1626797702701	1626797704825	171	OK
REQUEST	NPI,NPI	NPI_1902890692	1626797704826	1626797704985	OK	 
GROUP	NPI,NPI	1626797704826	1626797704985	159	OK
GROUP	NPI	1626797704825	1626797706097	159	OK
REQUEST	NPI,NPI	NPI_1932411584	1626797706098	1626797706748	OK	 
GROUP	NPI,NPI	1626797706098	1626797706748	650	OK
GROUP	NPI	1626797706097	1626797708386	650	OK
REQUEST	NPI,NPI	NPI_1275929051	1626797708388	1626797708551	OK	 
GROUP	NPI,NPI	1626797708387	1626797708551	163	OK
GROUP	NPI	1626797708387	1626797710038	163	OK
REQUEST	NPI,NPI	NPI_1114201886	1626797710039	1626797710230	OK	 
GROUP	NPI,NPI	1626797710038	1626797710230	191	OK
GROUP	NPI	1626797710038	1626797711451	191	OK
REQUEST	NPI,NPI	NPI_1760428825	1626797711451	1626797712091	OK	 
GROUP	NPI,NPI	1626797711451	1626797712092	640	OK
GROUP	NPI	1626797711451	1626797713959	640	OK
REQUEST	NPI,NPI	NPI_1437168358	1626797713960	1626797714212	OK	 
GROUP	NPI,NPI	1626797713959	1626797714212	252	OK
GROUP	NPI	1626797713959	1626797716098	252	OK
REQUEST	NPI,NPI	NPI_1578651436	1626797716099	1626797716331	OK	 
GROUP	NPI,NPI	1626797716099	1626797716331	232	OK
GROUP	NPI	1626797716098	1626797718162	232	OK
REQUEST	NPI,NPI	NPI_1346212545	1626797718163	1626797718346	OK	 
GROUP	NPI,NPI	1626797718162	1626797718346	183	OK
GROUP	NPI	1626797718162	1626797720143	183	OK
REQUEST	NPI,NPI	NPI_1528017290	1626797720144	1626797720331	OK	 
GROUP	NPI,NPI	1626797720143	1626797720332	187	OK
GROUP	NPI	1626797720143	1626797721690	187	OK
USER	Users_1	END	1626797721693
